ID	Name	Glottocode
ALT	Altai	sout2694
AZB	Azerbaijanian	nort2697
BAS	Bashkir	bash1264
BLKX	Balkar	kara1465
CHV	Chuvash	chuv1255
DOLG	Dolgan	dolg1241
GAGX	Gagauz	gaga1249
HAK	Khakassian	khak1248
JAK	Yakut	yaku1245
KAZ	Kazak	kaza1248
KHAL	Khalaj	turk1303
KLPX	Karakalpak	kara1467
KRG	Kirghiz	kirg1245
KRMX	Karaim	kara1464
NOGX	Nogay	noga1249
QUM	Kumyk	kumy1244
SAL	Salar	sala1264
SHR	Shor	shor1247
SJG	Sary-Yughur (A dialect of Uighur)	
TAT	Tatar	tata1255
TOF	Tofalar (A dialect of Tuvan)	
TRK	Turkish	nucl1301
TRM	Turkmen	turk1304
TUV	Tuvan	tuvi1240
UIG	Uighur	uigh1240
UZB	Uzbek	sout2699
